"STATISTIC","Statistic Label","C02567V03112","Interest Rate","TLIST(M1)","Month","UNIT","VALUE"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197501","1975M01","%","11"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197502","1975M02","%","11"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197503","1975M03","%","10"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197504","1975M04","%","10"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197505","1975M05","%","10"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197506","1975M06","%","10"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197507","1975M07","%","10"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197508","1975M08","%","10"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197509","1975M09","%","10"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197510","1975M10","%","10"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197511","1975M11","%","10"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197512","1975M12","%","10"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197601","1976M01","%","10"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197602","1976M02","%","10"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197603","1976M03","%","10"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197604","1976M04","%","10"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197605","1976M05","%","10"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197606","1976M06","%","11.25"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197607","1976M07","%","11.25"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197608","1976M08","%","11.25"
"FIM09","Financial Interest Rates (Historical Series)","01","Central Bank rediscount rate","197609","1976M09","%","11.25"
